tag,work (seconds),span (seconds),parallelism,burdened_span (seconds),burdened_parallelism,1c time (seconds),2c time (seconds),3c time (seconds),4c time (seconds),5c time (seconds),6c time (seconds),7c time (seconds),8c time (seconds),9c time (seconds),10c time (seconds),11c time (seconds),12c time (seconds)
pi_sample,5.6767,0.0162753,348.792,0.0164003,346.134,5.04531,2.52403,1.68447,1.26883,1.09369,0.901609,0.77194,0.675423,0.523158,0.437991,0.36986,0.324562
,5.67695,0.0165321,343.389,0.0166571,340.812,5.04548,2.5243,1.68479,1.26908,1.09407,0.901975,0.772363,0.675706,0.523696,0.438602,0.370435,0.325152
