tag,work (seconds),span (seconds),parallelism,burdened_span (seconds),burdened_parallelism,1c time (seconds),2c time (seconds),3c time (seconds),4c time (seconds),5c time (seconds),6c time (seconds),7c time (seconds),8c time (seconds),9c time (seconds),10c time (seconds),11c time (seconds),12c time (seconds)
pi_sample,2.67078,0.0201599,132.48,0.0202849,131.663,1.96489,1.02553,0.790239,0.633888,0.584433,0.498087,0.455901,0.423534,0.409041,0.367509,0.366866,0.346343
,2.67118,0.0205562,129.945,0.0206812,129.16,1.96494,1.02567,0.790604,0.634363,0.584953,0.498654,0.456574,0.424156,0.409665,0.368186,0.36737,0.34695
