1, 1.979369
1, 1.966396
1, 1.964251
1, 1.967980
1, 1.964531
1, 1.966346
1, 1.967681
1, 1.965933
2, 0.991645
2, 0.994995
2, 0.984607
2, 0.983569
2, 1.004835
2, 0.992481
2, 0.996052
2, 0.991336
3, 0.781190
3, 0.776440
3, 0.776168
3, 0.782097
3, 0.780935
3, 0.778250
3, 0.777920
3, 0.781247
4, 0.613535
4, 0.618640
4, 0.615135
4, 0.613563
4, 0.618503
4, 0.617316
4, 0.615015
4, 0.618271
5, 0.547121
5, 0.548840
5, 0.547455
5, 0.548756
5, 0.595921
5, 0.553637
5, 0.569913
5, 0.548488
6, 0.497134
6, 0.497785
6, 0.499043
6, 0.498416
6, 0.499777
6, 0.501053
6, 0.503121
6, 0.502815
7, 0.461406
7, 0.462342
7, 0.462391
7, 0.462962
7, 0.463863
7, 0.466301
7, 0.465741
7, 0.467868
8, 0.446938
8, 0.457513
8, 0.436697
8, 0.452809
8, 0.459308
8, 0.499163
8, 0.444556
8, 0.441859
9, 0.419962
9, 0.419462
9, 0.423868
9, 0.423256
9, 0.425563
9, 0.424747
9, 0.430975
9, 0.428404
10, 0.401111
10, 0.400350
10, 0.403584
10, 0.401134
10, 0.401638
10, 0.402516
10, 0.403151
10, 0.405037
11, 0.382528
11, 0.381193
11, 0.384904
11, 0.385018
11, 0.383043
11, 0.384083
11, 0.384551
11, 0.383794
12, 0.374481
12, 0.412945
12, 0.411180
12, 0.411259
12, 0.413167
12, 0.418126
12, 0.411423
12, 0.412733
13, 0.411165
13, 0.411751
13, 0.409323
13, 0.412054
13, 0.412814
13, 0.410861
13, 0.412151
13, 0.409695
14, 0.412723
14, 0.412499
14, 0.410616
14, 0.413947
14, 0.410692
14, 0.410942
14, 0.414059
14, 0.414529
15, 0.414826
15, 0.416920
15, 0.433420
15, 0.411263
15, 0.411661
15, 0.409473
15, 0.438747
15, 0.413531
16, 0.409894
16, 0.439191
16, 0.437435
16, 0.441653
16, 0.405019
16, 0.418976
16, 0.441816
16, 0.406787
